T tau errtau beta errbeta A errA
0.8 2.80727640877038 0.410174307800871 0.756987183538393 0.0760447612479845 0.0937517310831212 0.00913794028785616
0.7 5.71358815845329 1.54049316984067 1.0307075545929 0.285347797435276 0.0915258852819189 0.0214446218229901
0.6 14.4522872167164 4.38858949875322 0.840243252580082 0.259005023767657 0.148951777066863 0.0299641047955227
0.55 12.9018412174803 4.43508507115321 0.514055140873754 0.101975828970827 0.136994207062225 0.0194991395661405
0.52 38.5143857121143 3.15879154638979 0.613230092391856 0.0442323239157795 0.197656569313808 0.00691770265806789
0.49 103.425897480522 12.8511178603955 0.690677409290765 0.0927290414987756 0.118630144286107 0.00577886727169471
0.47 153.849795612085 11.4321686601257 0.60654059633245 0.0429217722863309 0.155542694924814 0.00366854047144628
0.46 315.03676632102 72.691151251151 0.496248922051727 0.0718446164405644 0.107853744807967 0.00940186151446632
0.45 608.644006937315 71.2889535890081 0.617187875717423 0.0698263141493935 0.12875044902623 0.00450975727845772
